Category: All categories

Week,booktok: (Worldwide)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,1
2020-05-24,0
2020-05-31,0
2020-06-07,1
2020-06-14,1
2020-06-21,1
2020-06-28,1
2020-07-05,2
2020-07-12,4
2020-07-19,4
2020-07-26,4
2020-08-02,3
2020-08-09,6
2020-08-16,0
2020-08-23,3
2020-08-30,2
2020-09-06,2
2020-09-13,3
2020-09-20,1
2020-09-27,5
2020-10-04,3
2020-10-11,2
2020-10-18,1
2020-10-25,4
2020-11-01,3
2020-11-08,4
2020-11-15,4
2020-11-22,1
2020-11-29,4
2020-12-06,7
2020-12-13,7
2020-12-20,14
2020-12-27,4
2021-01-03,8
2021-01-10,9
2021-01-17,10
2021-01-24,10
2021-01-31,7
2021-02-07,7
2021-02-14,12
2021-02-21,13
2021-02-28,22
2021-03-07,12
2021-03-14,18
2021-03-21,34
2021-03-28,32
2021-04-04,27
2021-04-11,18
2021-04-18,25
2021-04-25,17
2021-05-02,26
2021-05-09,22
2021-05-16,28
2021-05-23,32
2021-05-30,37
2021-06-06,34
2021-06-13,41
2021-06-20,53
2021-06-27,62
2021-07-04,53
2021-07-11,45
2021-07-18,51
2021-07-25,69
2021-08-01,59
2021-08-08,70
2021-08-15,62
2021-08-22,49
2021-08-29,55
2021-09-05,62
2021-09-12,52
2021-09-19,59
2021-09-26,51
2021-10-03,60
2021-10-10,55
2021-10-17,55
2021-10-24,51
2021-10-31,47
2021-11-07,66
2021-11-14,64
2021-11-21,63
2021-11-28,65
2021-12-05,48
2021-12-12,76
2021-12-19,66
2021-12-26,86
2022-01-02,97
2022-01-09,74
2022-01-16,71
2022-01-23,75
2022-01-30,73
2022-02-06,80
2022-02-13,83
2022-02-20,72
2022-02-27,64
2022-03-06,65
2022-03-13,65
2022-03-20,76
2022-03-27,72
2022-04-03,68
2022-04-10,71
2022-04-17,84
2022-04-24,84
2022-05-01,91
2022-05-08,68
2022-05-15,66
2022-05-22,83
2022-05-29,72
2022-06-05,89
2022-06-12,100
